イオンモール太田店,529,10:00～22:00,10:00～22:00,10:00～22:00,10:00～22:00,0276-47-8636,"STARBUCKS, docomo, FLET’S(東), au, Wi2 300"
横川サービスエリア(上り線)店,884,07:00～21:00,07:00～21:00,07:00～21:00,07:00～21:00,027-380-4088,"STARBUCKS, Softbank, au, Wi2 300"
パワーモール前橋みなみ店,1034,08:00～24:00,08:00～24:00,08:00～24:00,08:00～24:00,027-290-3550,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
伊勢崎SMARK店,908,09:30～21:00,09:30～21:00,09:30～21:00,09:30～21:00,0270-40-0530,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
浦和パルコ店,797,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,048-611-8142,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
さいたま新都心店,154,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,048-601-0057,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
コクーンシティ さいたま新都心店,1270,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,048-650-7331,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
やすな大宮店,427,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,048-658-5077,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
ルミネ大宮店,261,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,048-648-1107,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
大宮西口店,402,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,048-647-4882,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
丸井大宮店,1104,08:00～22:00,08:00～22:00,08:00～22:00,08:00～22:00,048-650-3531,
大宮宮原ステラタウン店,557,10:00～22:00,10:00～22:00,10:00～22:00,10:00～22:00,048-662-5538,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
川口店,494,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,048-240-0055,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
ララガーデン川口店,872,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,048-240-5277,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール川口前川店,164,10:00～22:00,10:00～22:00,10:00～22:00,10:00～22:00,048-262-1044,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
蕨 イトーヨーカドー錦町店,530,10:00～22:00,10:00～22:00,09:00～22:00,09:00～22:00,048-447-8148,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール北戸田店,581,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,048-449-0498,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
武蔵浦和ＢＥＡＮＳ店,251,07:00～22:00,07:00～22:30,07:00～22:30,07:00～22:30,048-865-3505,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
浦和別所店,821,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,048-872-8280,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
北浦和駅前店,352,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,048-825-3988,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール浦和美園店,668,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,048-812-6502,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール与野店,588,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,048-856-7113,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
草加ヴァリエ店,638,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,048-922-8030,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
三郷イトーヨーカドー店,617,09:30～21:00,09:30～21:00,09:30～21:00,09:30～21:00,048-949-1830,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
越谷イオンレイクタウン mori 1階店,864,09:00～23:00,09:00～23:00,09:00～23:00,09:00～23:00,048-930-7355,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
越谷イオンレイクタウン mori ガーデンウォーク店,865,10:00～23:00,10:00～23:00,10:00～23:00,10:00～23:00,048-930-7368,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
越谷イオンレイクタウン mori 3階店,866,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,048-930-7466,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
越谷イオンレイクタウン kaze店,867,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,048-934-3103,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
越谷レイクタウン アウトレット店,1026,10:00～20:00,10:00～20:00,10:00～20:00,10:00～20:00,048-940-1759,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
東武新越谷駅店,550,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,048-961-3005,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
獨協医科大学越谷病院店,823,07:30～19:00,07:30～19:00,07:30～19:00,11:00～18:00,048-960-5051,
ララガーデン春日部店,768,09:30～21:00,09:30～21:00,09:30～21:00,09:30～21:00,048-731-6750,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール春日部店,1128,10:00～22:00,10:00～22:00,10:00～22:00,10:00～22:00,048-718-1025,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
東武久喜駅店,682,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,0480-29-1550,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
モラージュ菖蒲店,1036,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,0480-87-1033,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
羽生パーキングエリア（下り線）店,951,07:00～22:00,07:00～22:00,06:30～22:00,06:30～22:00,048-566-3611,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール羽生店,790,10:00～22:00,10:00～22:00,10:00～22:00,10:00～22:00,048-560-0131,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
蓮田サービスエリア（上り線）店,712,06:30～21:00,06:30～21:00,06:30～21:00,06:30～21:00,048-765-7711,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
西武本川越駅店,281,07:00～22:00,07:00～22:30,07:00～22:30,07:00～22:00,049-225-8840,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
